gameid,date,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason,month,day,year,city,nickname
CL6188905250,05/25/1889,orr-d101,Dave Orr,CL6,P,goldf101,Fred Goldsmith,-1,Call at 3B,5,25,1889,Columbus,Colts
BL2188905280,05/28/1889,tuckt103,Tommy Tucker,BL2,P,gaffj801,John Gaffney,-1,Yelling at OF chasing fly,5,28,1889,Baltimore,Orioles
WS8188906010,06/01/1889,ewinb101,Buck Ewing,NY1,P,currw101,Wes Curry,-1,Obscene language,6,1,1889,New York,Giants
WS8188907300,07/30/1889,ewinb101,Buck Ewing,NY1,P,bakep101,Phil Baker,-1,Call at 1B,7,30,1889,New York,Giants
LS2188908100,08/10/1889,raymh101,Harry Raymond,LS2,P,goldf101,Fred Goldsmith,-1,Call at 2B,8,10,1889,Louisville,Colonels
BSN188909142,09/14/1889,faatj101,Jay Faatz,CL4,P,currw101,Wes Curry,-1,Call at 1B,9,14,1889,Cleveland,Spiders
BR3188909151,09/15/1889,shand101,Dan Shannon,LS2,M,goldf101,Fred Goldsmith,-1,Call at HP,9,15,1889,Louisville,Colonels
IN3188909190,09/19/1889,hanln101,Ned Hanlon,PIT,M,mcquj902,Jack McQuaid,-1,HBP call,9,19,1889,Pittsburgh,Pirates
BR3188909230,09/23/1889,burno101,Oyster Burns,BR3,P,henge801,Ed Hengel,-1,Call at 3B,9,23,1889,Brooklyn,Dodgers
BR3188909230,09/23/1889,baldm101,Mark Baldwin,CL6,P,henge801,Ed Hengel,-1,Balls and strikes,9,23,1889,Columbus,Colts
KC2188909280,09/28/1889,hoovc101,Charlie Hoover,KC2,P,heckg101,Guy Hecker,-1,Fighting with fan,9,28,1889,Kansas City,Cowboys
RC2189005210,05/21/1890,rosec101,Chief Roseman,SL4,P,barng901,George Barnum,-1,Insisting on playing with old ball,5,21,1890,St. Louis,Cardinals
PH4189005231,05/23/1890,nichp101,Parson Nicholson,TL2,P,dosch101,Herm Doscher,-1,Unknown reason,5,23,1890,Toledo,Maumees
PH4189005272,05/27/1890,mccat103,Tommy McCarthy,SL4,P,odayl901,Larry O'Dea,-1,Unknown reason,5,27,1890,St. Louis,Cardinals
BFP189006141,06/14/1890,visnj101,Joe Visner,PTP,P,barnr102,Ross Barnes,-1,Bench jockeying,6,14,1890,Pittsburgh,Burghers
RC2189006141,06/14/1890,chilc101,Cupid Childs,SR2,P,dosch101,Herm Doscher,-1,Unknown reason,6,14,1890,Syracuse,Stars
CHP189006170,06/17/1890,tebep101,Patsy Tebeau,CLP,P,Unknown umpire,Unknown,-1,Unknown reason,6,17,1890,Cleveland,Infants
PH4189006232,06/23/1890,welcc101,Curt Welch,PH4,P,odayl901,Larry O'Dea,-1,Unknown reason,6,23,1890,Philadelphia,Athletics
PIT189007010,07/01/1890,glasj101,Jack Glasscock,NY1,P,mcdes101,Sandy McDermott,-1,Call at 1B,7,1,1890,New York,Giants
CL4189007022,07/02/1890,mcgac101,Chippy McGarr,BSN,P,strig101,George Strief,-1,Fighting,7,2,1890,Boston,Braves
CL4189007022,07/02/1890,davig102,George Davis,CL4,P,strig101,George Strief,-1,Fighting,7,2,1890,Cleveland,Spiders
PHP189007080,07/08/1890,hanln101,Ned Hanlon,PTP,M,knigl101,Lon Knight,-1,Delaying game,7,8,1890,Pittsburgh,Burghers
CHP189007280,07/28/1890,wardm101,Monte Ward,BRP,M,snydp101,Pop Snyder,-1,Interference non-call,7,28,1890,Brooklyn,Wonders
BR4189007300,07/30/1890,oconj104,Jack O'Connor,CL6,P,peopj101,Jimmy Peoples,-1,Balls and strikes,7,30,1890,Columbus,Colts
CL6189008050,08/05/1890,welcc101,Curt Welch,PH4,P,dosch101,Herm Doscher,-1,Unknown reason,8,5,1890,Philadelphia,Athletics
TL2189008050,08/05/1890,greeb102,Bill Greenwood,RC2,P,peopj101,Jimmy Peoples,-1,Unknown reason,8,5,1890,Rochester,Hop Bitters
CHP189008112,08/11/1890,duffh101,Hugh Duffy,CHP,P,pierg101,Gracie Pierce,-1,Balls and strikes,8,11,1890,Chicago,Pirates
TL2189008240,08/24/1890,reilc102,Charlie Reilly,CL6,P,peopj101,Jimmy Peoples,-1,Unknown reason,8,24,1890,Columbus,Colts
BSP189009020,09/02/1890,tebep101,Patsy Tebeau,CLP,P,holbb101,Bill Holbert,-1,Obstruction call,9,2,1890,Cleveland,Infants
NYP189009180,09/18/1890,dailc101,Con Daily,BRP,P,pierg101,Gracie Pierce,-1,Bench jockeying,9,18,1890,Brooklyn,Wonders
SL4189009212,09/21/1890,grifs101,Sandy Griffin,RC2,P,dosch101,Herm Doscher,-1,Unknown reason,9,21,1890,Rochester,Hop Bitters
CHN189009220,09/22/1890,burno101,Oyster Burns,BRO,P,powep101,Phil Powers,-1,Bench jockeying,9,22,1890,Brooklyn,Dodgers
LS2189010040,10/04/1890,mctaj101,Jim McTamany,CL6,P,dosch101,Herm Doscher,-1,Unknown reason,10,4,1890,Columbus,Colts
LS2189010050,10/05/1890,crooj101,Jack Crooks,CL6,P,dosch101,Herm Doscher,-1,Unknown reason,10,5,1890,Columbus,Colts
BS2189104200,04/20/1891,duffh101,Hugh Duffy,BS2,P,snydp101,Pop Snyder,-1,Interference call,4,20,1891,Boston,Reds
PIT189104230,04/23/1891,hanln101,Ned Hanlon,PIT,M,powep101,Phil Powers,-1,Catch/trap call,4,23,1891,Pittsburgh,Pirates
BRO189106100,06/10/1891,mckee101,Ed McKean,CL4,P,mcquj902,Jack McQuaid,-1,Balls and strikes,6,10,1891,Cleveland,Spiders
LS2189106170,06/17/1891,raymh101,Harry Raymond,LS2,P,davij101,Jumbo Davis,-1,Unknown reason,6,17,1891,Louisville,Colonels
BS2189106300,06/30/1891,daile101,Ed Daily,WS9,P,kerij101,John Kerins,-1,Bench jockeying,6,30,1891,Washington,Senators
CIN189107080,07/08/1891,latha101,Arlie Latham,CIN,P,mcquj902,Jack McQuaid,-1,Call at 1B,7,8,1891,Cincinnati,Reds
PH4189107130,07/13/1891,ryanj103,Jack Ryan,LS2,P,davij101,Jumbo Davis,-1,Balls and strikes,7,13,1891,Louisville,Colonels
PIT189107161,07/16/1891,wardm101,Monte Ward,BRO,M,hurst801,Tim Hurst,-1,Call at 1B,7,16,1891,Brooklyn,Dodgers
PHI189108210,08/21/1891,ewinb101,Buck Ewing,NY1,P,hurst801,Tim Hurst,-1,Call at 3B,8,21,1891,New York,Giants
CIN189108310,08/31/1891,rhinb101,Billy Rhines,CIN,P,hurst801,Tim Hurst,-1,Balls and strikes,8,31,1891,Cincinnati,Reds
BSN189109082,09/08/1891,tebep101,Patsy Tebeau,CL4,M,hurst801,Tim Hurst,-1,Call at 3B,9,8,1891,Cleveland,Spiders
BRO189109110,09/11/1891,reilc102,Charlie Reilly,PIT,P,mcquj902,Jack McQuaid,-1,Call at 3B,9,11,1891,Pittsburgh,Pirates
LS2189109130,09/13/1891,broud101,Dan Brouthers,BS2,P,mahom901,Jerry Mahoney,-1,Fair/foul call,9,13,1891,Boston,Reds
LS2189109190,09/19/1891,chame101,Ice Box Chamberlain,PH4,P,mclat901,Thomas McLaughlin,-1,Fair/foul call,9,19,1891,Philadelphia,Athletics
LS2189109202,09/20/1891,larkh101,Henry Larkin,PH4,P,mclat901,Thomas McLaughlin,-1,Balls and strikes,9,20,1891,Philadelphia,Athletics
ML3189109240,09/24/1891,crooj101,Jack Crooks,CL6,P,mclat901,Thomas McLaughlin,-1,Unknown reason,9,24,1891,Columbus,Colts
CHN189109250,09/25/1891,milld103,Doggie Miller,PIT,P,mcquj902,Jack McQuaid,-1,Call at HP,9,25,1891,Pittsburgh,Pirates
BRO189205260,05/26/1892,crooj101,Jack Crooks,SLN,M,lynct901,Tom Lynch,-1,Call at 2B,5,26,1892,St. Louis,Cardinals
PIT189207120,07/12/1892,mccat103,Tommy McCarthy,BSN,P,mitcc901,Charlie Mitchell,-1,Bench jockeying,7,12,1892,Boston,Braves
WSN189207150,07/15/1892,tebep101,Patsy Tebeau,CL4,M,mitcc901,Charlie Mitchell,-1,Balls and strikes,7,15,1892,Cleveland,Spiders
WSN189207200,07/20/1892,comic101,Charlie Comiskey,CIN,M,mitcc901,Charlie Mitchell,-1,Call at 1B,7,20,1892,Cincinnati,Reds
PHI189207210,07/21/1892,crooj101,Jack Crooks,SLN,M,emslb101,Bob Emslie,-1,Unknown reason,7,21,1892,St. Louis,Cardinals
BRO189208110,08/11/1892,crane101,Ed Crane,NY1,P,barnb101,Billy Barnie,-1,Balls and strikes,8,11,1892,New York,Giants
SLN189208210,08/21/1892,hanln101,Ned Hanlon,BLN,M,barnb101,Billy Barnie,-1,Unknown reason,8,21,1892,Baltimore,Orioles
NY1189209242,09/24/1892,doylj103,Jack Doyle,NY1,P,burnt101,Tom Burns,-1,Arguing leaving 3rd too soon on SF,9,24,1892,New York,Giants
WSN189305020,05/02/1893,burno101,Oyster Burns,BRO,P,mclam901,Mike McLaughlin,-1,Balls and strikes,5,2,1893,Brooklyn,Dodgers
SLN189305150,05/15/1893,vaugf101,Farmer Vaughn,CIN,P,mcquj902,Jack McQuaid,-1,Threw bat at pitcher,5,15,1893,Cincinnati,Reds
PHI189305200,05/20/1893,millj108,Jocko Milligan,BLN,P,snydp101,Pop Snyder,-1,Balls and strikes,5,20,1893,Baltimore,Orioles
BLN189306140,06/14/1893,latha101,Arlie Latham,CIN,P,mclam901,Mike McLaughlin,-1,Balls and strikes,6,14,1893,Cincinnati,Reds
PIT189307050,07/05/1893,mcgrj101,John McGraw,BLN,P,mclam901,Mike McLaughlin,-1,Interference call,7,5,1893,Baltimore,Orioles
PIT189307070,07/07/1893,mccat103,Tommy McCarthy,BSN,P,mclam901,Mike McLaughlin,-1,Call at 3B (Appeal),7,7,1893,Boston,Braves
NY1189307260,07/26/1893,mcgrj101,John McGraw,BLN,P,snydp101,Pop Snyder,-1,HBP non-call,7,26,1893,Baltimore,Orioles
CIN189308061,08/06/1893,latha101,Arlie Latham,CIN,P,snydp101,Pop Snyder,-1,Balls and strikes,8,6,1893,Cincinnati,Reds
PIT189308102,08/10/1893,browt102,Tom Brown,LS3,P,powec902,Charles Power,6,Pitcher's foot not on rubber,8,10,1893,Louisville,Colonels
NY1189308210,08/21/1893,tebep101,Patsy Tebeau,CL4,M,gaffj801,John Gaffney,-1,Balls and strikes,8,21,1893,Cleveland,Spiders
PIT189405120,05/12/1894,oconj104,Jack O'Connor,CL4,P,mcquj902,Jack McQuaid,-1,Balls and strikes,5,12,1894,Cleveland,Spiders
PHI189405180,05/18/1894,duffh101,Hugh Duffy,BSN,P,hurst801,Tim Hurst,-1,Call at 1B,5,18,1894,Boston,Braves
PHI189405180,05/18/1894,tuckt103,Tommy Tucker,BSN,P,hurst801,Tim Hurst,-1,Bench jockeying,5,18,1894,Boston,Braves
NY1189406050,06/05/1894,comic101,Charlie Comiskey,CIN,M,sware101,Ed Swartwood,-1,Unknown reason,6,5,1894,Cincinnati,Reds
WSN189406080,06/08/1894,vaugf101,Farmer Vaughn,CIN,P,hurst801,Tim Hurst,-1,Balls and strikes,6,8,1894,Cincinnati,Reds
BRO189406120,06/12/1894,latha101,Arlie Latham,CIN,P,sware101,Ed Swartwood,-1,Call at 3B,6,12,1894,Cincinnati,Reds
NY1189406220,06/22/1894,wardm101,Monte Ward,NY1,M,stagb901,Billy Stage,-1,Call at 2B,6,22,1894,New York,Giants
CL4189406280,06/28/1894,chilc101,Cupid Childs,CL4,P,stagb901,Billy Stage,-1,Unknown reason,6,28,1894,Cleveland,Spiders
CL4189407020,07/02/1894,tebep101,Patsy Tebeau,CL4,M,hartj901,Jack Hartley,-1,Fair/foul call,7,2,1894,Cleveland,Spiders
PIT189407041,07/04/1894,longh101,Herman Long,BSN,P,lynct901,Tom Lynch,-1,Call at 2B,7,4,1894,Boston,Braves
SLN189407170,07/17/1894,milld103,Doggie Miller,SLN,P,hurst801,Tim Hurst,-1,Unknown reason,7,17,1894,St. Louis,Cardinals
SLN189407180,07/18/1894,beckj103,Jake Beckley,PIT,P,hurst801,Tim Hurst,-1,Bench jockeying,7,18,1894,Pittsburgh,Pirates
PHI189407280,07/28/1894,tierm101,Mike Tiernan,NY1,P,hoagw901,Will Hoagland,-1,Balls and strikes,7,28,1894,New York,Giants
CL4189408030,08/03/1894,tebep101,Patsy Tebeau,CL4,M,hurst801,Tim Hurst,-1,Unknown reason,8,3,1894,Cleveland,Spiders
BLN189408200,08/20/1894,beckj103,Jake Beckley,PIT,P,bettw901,William Betts,-1,Unknown reason,8,20,1894,Pittsburgh,Pirates
BLN189408210,08/21/1894,beckj103,Jake Beckley,PIT,P,bettw901,William Betts,-1,Unknown reason,8,21,1894,Pittsburgh,Pirates
NY1189409011,09/01/1894,latha101,Arlie Latham,CIN,P,mcquj902,Jack McQuaid,-1,Unknown reason,9,1,1894,Cincinnati,Reds
CL4189409210,09/21/1894,mcalj102,Jimmy McAleer,CL4,P,mcquj902,Jack McQuaid,-1,Unknown reason,9,21,1894,Cleveland,Spiders
CIN189409251,09/25/1894,tuckt103,Tommy Tucker,BSN,P,mcquj902,Jack McQuaid,-1,Hid baseball from umpires,9,25,1894,Boston,Braves
PIT189409250,09/25/1894,kennb101,Brickyard Kennedy,BRO,P,bettw901,William Betts,-1,Call at 3B (Struck umpire),9,25,1894,Brooklyn,Dodgers
CL4189505152,05/15/1895,tebep101,Patsy Tebeau,CL4,M,murrm101,Miah Murray,-1,Balls and strikes,5,15,1895,Cleveland,Spiders
CHN189505260,05/26/1895,ansoc101,Cap Anson,CHN,M,murrm101,Miah Murray,-1,Ground rule for ball in crowd,5,26,1895,Chicago,Cubs
PHI189505301,05/30/1895,latha101,Arlie Latham,CIN,P,emslb101,Bob Emslie,-1,Unknown reason,5,30,1895,Cincinnati,Reds
BLN189506030,06/03/1895,oconj104,Jack O'Connor,CL4,P,bettw901,William Betts,-1,Balls and strikes,6,3,1895,Cleveland,Spiders
NY1189506040,06/04/1895,peith101,Heinie Peitz,SLN,P,murrm101,Miah Murray,-1,Call at HP,6,4,1895,St. Louis,Cardinals
NY1189506080,06/08/1895,doylj103,Jack Doyle,NY1,M,murrm101,Miah Murray,-1,Call at HP,6,8,1895,New York,Giants
NY1189506080,06/08/1895,killf101,Frank Killen,PIT,P,murrm101,Miah Murray,-1,Fighting,6,8,1895,Pittsburgh,Pirates
PHI189506210,06/21/1895,kellj106,Joe Kelley,BLN,P,murrm101,Miah Murray,-1,Balls and strikes,6,21,1895,Baltimore,Orioles
BLN189506220,06/22/1895,mcgrj101,John McGraw,BLN,P,emslb101,Bob Emslie,-1,Call at 1B,6,22,1895,Baltimore,Orioles
WSN189506250,06/25/1895,kellj106,Joe Kelley,BLN,P,emslb101,Bob Emslie,-1,Interference non-call,6,25,1895,Baltimore,Orioles
CL4189506290,06/29/1895,grifc101,Clark Griffith,CHN,P,stagb901,Billy Stage,-1,Balls and strikes,6,29,1895,Chicago,Cubs
LS3189507020,07/02/1895,vaugf101,Farmer Vaughn,CIN,P,keeft101,Tim Keefe,-1,Fighting,7,2,1895,Cincinnati,Reds
LS3189507020,07/02/1895,obrij104,John O'Brien,LS3,P,keeft101,Tim Keefe,-1,Fighting,7,2,1895,Louisville,Colonels
CHN189507060,07/06/1895,farrd102,Duke Farrell,NY1,P,andre101,Ed Andrews,-1,Call at 3B,7,6,1895,New York,Giants
LS3189507110,07/11/1895,mccat103,Tommy McCarthy,BSN,P,mcdoj105,Jim McDonald,-1,Fighting,7,11,1895,Boston,Braves
LS3189507110,07/11/1895,spieh101,Harry Spies,LS3,P,mcdoj105,Jim McDonald,-1,Fighting,7,11,1895,Louisville,Colonels
CL4189507162,07/16/1895,mcgrj101,John McGraw,BLN,P,andre101,Ed Andrews,-1,Appeal play,7,16,1895,Baltimore,Orioles
PIT189507230,07/23/1895,jennh101,Hughie Jennings,BLN,P,keeft101,Tim Keefe,-1,Balls and strikes,7,23,1895,Baltimore,Orioles
NY1189508020,08/02/1895,shocg101,George Shoch,BRO,P,burnw801,Watch Burnham,-1,Fair/foul call,8,2,1895,Brooklyn,Dodgers
BSN189508100,08/10/1895,schef101,Frank Scheibeck,WSN,P,burnw801,Watch Burnham,-1,Call at 1B,8,10,1895,Washington,Senators
PHI189508130,08/13/1895,doylj103,Jack Doyle,NY1,M,burnw801,Watch Burnham,-1,Call at 1B,8,13,1895,New York,Giants
PHI189508232,08/23/1895,mcclj801,John McCloskey,LS3,M,keeft101,Tim Keefe,-1,Unknown reason,8,23,1895,Louisville,Colonels
BRO189508280,08/28/1895,mcclj801,John McCloskey,LS3,M,burnw801,Watch Burnham,-1,Balls and strikes,8,28,1895,Louisville,Colonels
BRO189508280,08/28/1895,mcdem101,Mike McDermott,LS3,P,burnw801,Watch Burnham,-1,Balls and strikes,8,28,1895,Louisville,Colonels
NY1189509060,09/06/1895,mackc101,Connie Mack,PIT,M,odayh101,Hank O'Day,-1,Call at 2B,9,6,1895,Pittsburgh,Pirates
BLN189509100,09/10/1895,tebep101,Patsy Tebeau,CL4,M,emslb101,Bob Emslie,-1,Unknown reason,9,10,1895,Cleveland,Spiders
BLN189509120,09/12/1895,kellj106,Joe Kelley,BLN,P,hurst801,Tim Hurst,-1,Call at 2B,9,12,1895,Baltimore,Orioles
WSN189509120,09/12/1895,carte101,Ed Cartwright,WSN,P,murrm101,Miah Murray,-1,Call at 2B,9,12,1895,Washington,Senators
BSN189509180,09/18/1895,brods101,Steve Brodie,BLN,P,murrm101,Miah Murray,-1,Fair/foul call,9,18,1895,Baltimore,Orioles
PIT189604210,04/21/1896,obrij104,John O'Brien,LS3,P,wieds101,Stump Weidman,-1,Unknown reason,4,21,1896,Louisville,Colonels
CIN189605100,05/10/1896,joycb101,Bill Joyce,WSN,P,sherj901,Jack Sheridan,-1,Call at 1B,5,10,1896,Washington,Senators
BSN189605290,05/29/1896,tebep101,Patsy Tebeau,CL4,M,keeft101,Tim Keefe,-1,Threw ball over fence,5,29,1896,Cleveland,Spiders
WSN189606030,06/03/1896,tebep101,Patsy Tebeau,CL4,M,emslb101,Bob Emslie,-1,Call at 1B,6,3,1896,Cleveland,Spiders
BLN189606100,06/10/1896,milld103,Doggie Miller,LS3,P,sherj901,Jack Sheridan,-1,Unknown reason,6,10,1896,Louisville,Colonels
BLN189606120,06/12/1896,kellj106,Joe Kelley,BLN,P,sherj901,Jack Sheridan,-1,Balls and strikes,6,12,1896,Baltimore,Orioles
CL4189606190,06/19/1896,tebep101,Patsy Tebeau,CL4,M,lynct901,Tom Lynch,-1,Call at 1B,6,19,1896,Cleveland,Spiders
PHI189606220,06/22/1896,clarb103,Boileryard Clarke,BLN,P,hurst801,Tim Hurst,-1,Balls and strikes (Threatened umpire),6,22,1896,Baltimore,Orioles
PIT189607030,07/03/1896,merrb101,Bill Merritt,PIT,P,lynct901,Tom Lynch,-1,Fighting,7,3,1896,Pittsburgh,Pirates
LS3189607060,07/06/1896,tennf102,Fred Tenney,BSN,P,wolfc102,Chicken Wolf,-1,Called umpire 'a fat dub',7,6,1896,Boston,Braves
LS3189607170,07/17/1896,clard103,Dad Clarke,NY1,P,mcfah901,Horace McFarlan,-1,Bench jockeying,7,17,1896,New York,Giants
PIT189607170,07/17/1896,clemj101,Jack Clements,PHI,P,bettw901,William Betts,-1,Call at 1B,7,17,1896,Philadelphia,Phillies
PIT189607170,07/17/1896,taylj102,Jack Taylor,PHI,P,bettw901,William Betts,-1,Call at 1B,7,17,1896,Philadelphia,Phillies
CIN189607211,07/21/1896,vaugf101,Farmer Vaughn,CIN,P,sherj901,Jack Sheridan,-1,Call at HP,7,21,1896,Cincinnati,Reds
CL4189607212,07/21/1896,obrij104,John O'Brien,WSN,P,hurst801,Tim Hurst,-1,Call at 1B (Threw hat),7,21,1896,Washington,Senators
PIT189607212,07/21/1896,brods101,Steve Brodie,BLN,P,bettw901,William Betts,-1,Balls and strikes,7,21,1896,Baltimore,Orioles
LS3189607221,07/22/1896,grifm101,Mike Griffin,BRO,P,mcfah901,Horace McFarlan,-1,Interference call,7,22,1896,Brooklyn,Dodgers
LS3189607221,07/22/1896,clinb101,Billy Clingman,LS3,P,mcfah901,Horace McFarlan,-1,Catch/trap call,7,22,1896,Louisville,Colonels
LS3189607250,07/25/1896,mcgud101,Deacon McGuire,WSN,P,bettw901,William Betts,-1,Indecent language after HBP non-call,7,25,1896,Washington,Senators
CIN189607310,07/31/1896,killf101,Frank Killen,PIT,P,lallb901,Bud Lally,-1,Fair/foul call (Punched umpire),7,31,1896,Pittsburgh,Pirates
CHN189608010,08/01/1896,mcgub101,Bill McGunnigle,LS3,M,emslb101,Bob Emslie,-1,Bench jockeying,8,1,1896,Louisville,Colonels
LS3189608030,08/03/1896,donop101,Patsy Donovan,PIT,P,bettw901,William Betts,-1,Call at 3B,8,3,1896,Pittsburgh,Pirates
CHN189608080,08/08/1896,crosm101,Monte Cross,SLN,P,mcfah901,Horace McFarlan,-1,Call at 2B,8,8,1896,St. Louis,Cardinals
CIN189608090,08/09/1896,clarf101,Fred Clarke,LS3,P,lallb901,Bud Lally,-1,Call at 3B (Grabbed umpire),8,9,1896,Louisville,Colonels
WSN189608192,08/19/1896,tebep101,Patsy Tebeau,CL4,M,hurst801,Tim Hurst,-1,Call at 1B,8,19,1896,Cleveland,Spiders
BLN189608220,08/22/1896,jennh101,Hughie Jennings,BLN,P,hurst801,Tim Hurst,-1,Call at 1B (Grabbed umpire),8,22,1896,Baltimore,Orioles
PHI189608221,08/22/1896,crosm101,Monte Cross,SLN,P,conau901,Ed Conahan,-1,Unknown reason,8,22,1896,St. Louis,Cardinals
NY1189609020,09/02/1896,joycb101,Bill Joyce,NY1,M,sherj901,Jack Sheridan,-1,Balls and strikes,9,2,1896,New York,Giants
PHI189609030,09/03/1896,gradm101,Mike Grady,PHI,P,lallb901,Bud Lally,-1,Balls and strikes,9,3,1896,Philadelphia,Phillies
BLN189609041,09/04/1896,ansoc101,Cap Anson,CHN,M,emslb101,Bob Emslie,-1,Delaying game,9,4,1896,Chicago,Cubs
BLN189609071,09/07/1896,mcgrj101,John McGraw,BLN,P,lallb901,Bud Lally,-1,Bench jockeying,9,7,1896,Baltimore,Orioles
NY1189609080,09/08/1896,lyond101,Denny Lyons,PIT,P,emslb101,Bob Emslie,-1,Call at 3B,9,8,1896,Pittsburgh,Pirates
WSN189609100,09/10/1896,delae101,Ed Delahanty,PHI,P,lynct901,Tom Lynch,-1,Call at 3B,9,10,1896,Philadelphia,Phillies
WSN189609150,09/15/1896,demog101,Gene DeMontreville,WSN,P,hurst801,Tim Hurst,-1,Call at 3B,9,15,1896,Washington,Senators
NY1189609180,09/18/1896,gradm101,Mike Grady,PHI,P,hornm101,Joe Hornung,-1,Fair/foul call,9,18,1896,Philadelphia,Phillies
NY1189609180,09/18/1896,taylj102,Jack Taylor,PHI,P,hornm101,Joe Hornung,-1,Fair/foul call,9,18,1896,Philadelphia,Phillies
LS3189704240,04/24/1897,burkj101,Jesse Burkett,CL4,P,mcdes101,Sandy McDermott,1,Bench jockeying,4,24,1897,Cleveland,Spiders
LS3189704240,04/24/1897,oconj104,Jack O'Connor,CL4,P,mcdes101,Sandy McDermott,9,Bench jockeying,4,24,1897,Cleveland,Spiders
LS3189705100,05/10/1897,davig102,George Davis,NY1,P,sherj901,Jack Sheridan,-1,Unknown reason,5,10,1897,New York,Giants
WSN189705110,05/11/1897,doylj103,Jack Doyle,BLN,P,hurst801,Tim Hurst,-1,Balls and strikes,5,11,1897,Baltimore,Orioles
CL4189705120,05/12/1897,grifm101,Mike Griffin,BRO,P,odayh101,Hank O'Day,-1,Call at 1B,5,12,1897,Brooklyn,Dodgers
CIN189705150,05/15/1897,joycb101,Bill Joyce,NY1,M,emslb101,Bob Emslie,-1,Call at 2B,5,15,1897,New York,Giants
CL4189705170,05/17/1897,obrij104,John O'Brien,WSN,P,hurst801,Tim Hurst,-1,HBP call,5,17,1897,Washington,Senators
CIN189705200,05/20/1897,mcgrj101,John McGraw,BLN,P,sherj901,Jack Sheridan,-1,Obstruction call,5,20,1897,Baltimore,Orioles
CIN189705210,05/21/1897,mcgrj101,John McGraw,BLN,P,sherj901,Jack Sheridan,-1,Obstruction call,5,21,1897,Baltimore,Orioles
CHN189705230,05/23/1897,langb102,Bill Lange,CHN,P,odayh101,Hank O'Day,-1,Fighting,5,23,1897,Chicago,Cubs
CHN189705230,05/23/1897,obrij104,John O'Brien,WSN,P,odayh101,Hank O'Day,-1,Fighting,5,23,1897,Washington,Senators
CHN189705300,05/30/1897,jennh101,Hughie Jennings,BLN,P,hurst801,Tim Hurst,-1,Call at 1B,5,30,1897,Baltimore,Orioles
CHN189705300,05/30/1897,kellj106,Joe Kelley,BLN,P,hurst801,Tim Hurst,-1,Call at 1B,5,30,1897,Baltimore,Orioles
NY1189706010,06/01/1897,donop101,Patsy Donovan,PIT,P,mcdes101,Sandy McDermott,-1,Call at 2B,6,1,1897,Pittsburgh,Pirates
NY1189706010,06/01/1897,killf101,Frank Killen,PIT,P,mcdes101,Sandy McDermott,-1,Call at 2B,6,1,1897,Pittsburgh,Pirates
NY1189706010,06/01/1897,paddd102,Dick Padden,PIT,P,mcdes101,Sandy McDermott,-1,Call at 2B,6,1,1897,Pittsburgh,Pirates
NY1189706032,06/03/1897,cunnb103,Bert Cunningham,LS3,P,mcdes101,Sandy McDermott,-1,Threw ball over fence,6,3,1897,Louisville,Colonels
NY1189706040,06/04/1897,rogej102,Jim Rogers,LS3,M,mcdes101,Sandy McDermott,-1,Interference call (Reversed),6,4,1897,Louisville,Colonels
PHI189706040,06/04/1897,donop101,Patsy Donovan,PIT,M,mcdoj105,Jim McDonald,-1,Fair/foul call,6,4,1897,Pittsburgh,Pirates
WSN189706110,06/11/1897,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,4,Call at 3B,6,11,1897,St. Louis,Cardinals
WSN189706190,06/19/1897,reilc102,Charlie Reilly,WSN,P,emslb101,Bob Emslie,-1,Call at 2B,6,19,1897,Washington,Senators
PIT189706240,06/24/1897,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,12,Call at 3B,6,24,1897,St. Louis,Cardinals
CHN189706280,06/28/1897,ansoc101,Cap Anson,CHN,M,sherj901,Jack Sheridan,-1,Fair/foul call,6,28,1897,Chicago,Cubs
PHI189706280,06/28/1897,boylj102,Jack Boyle,PHI,P,emslb101,Bob Emslie,-1,Call at 1B,6,28,1897,Philadelphia,Phillies
NY1189706300,06/30/1897,kellj106,Joe Kelley,BLN,P,odayh101,Hank O'Day,-1,Balk non-call,6,30,1897,Baltimore,Orioles
CL4189707030,07/03/1897,dougk101,Klondike Douglass,SLN,P,odayh101,Hank O'Day,-1,Balls and strikes,7,3,1897,St. Louis,Cardinals
CIN189707050,07/05/1897,peith101,Heinie Peitz,CIN,P,lynct901,Tom Lynch,-1,Arguing 3rd strike,7,5,1897,Cincinnati,Reds
PIT189707080,07/08/1897,warnj103,Jack Warner,NY1,P,campd901,Dan Campbell,-1,Balls and strikes,7,8,1897,New York,Giants
CHN189707090,07/09/1897,duffh101,Hugh Duffy,BSN,P,lynct901,Tom Lynch,-1,Call at HP,7,9,1897,Boston,Braves
CHN189707090,07/09/1897,ansoc101,Cap Anson,CHN,M,lynct901,Tom Lynch,-1,Call at HP,7,9,1897,Chicago,Cubs
CIN189707090,07/09/1897,beckj103,Jake Beckley,CIN,P,hurst801,Tim Hurst,-1,Catch/trap call,7,9,1897,Cincinnati,Reds
CIN189707090,07/09/1897,boylj102,Jack Boyle,PHI,P,hurst801,Tim Hurst,-1,Balls and strikes,7,9,1897,Philadelphia,Phillies
